drop_y,seq_ms,v4_ms,speedup,,,,,
1.5,12921.404,94.01,137.4471226,,,,,
2,13036.288,94.32,138.2134012,,,,,
2.5,13275.907,93.847,141.4633073,,,,,
3,13216.169,94.281,140.1784983,,,,,
3.5,13176.453,93.916,140.3004067,,,,,
4,13003.095,93.793,138.6360922,,,,,
5,12806.84,93.762,136.58881,,,,,
,,,,,,,,
,,,,,,,,(cloth_vis_env) akundu2@ghc28:~/private/15418/Parallel-Sheet-Simulator$ bash scripts/drop_seq_vs_v4.sh
,,,,,,,,Running drop height 1.5...
,,,,,,,,"seq=12883.618 ms, v4=100.030 ms, speedup=128.79754073777866640007"
,,,,,,,,Running drop height 2.0...
,,,,,,,,"seq=12901.860 ms, v4=99.367 ms, speedup=129.84049030362192679662"
,,,,,,,,Running drop height 2.5...
,,,,,,,,"seq=12959.181 ms, v4=99.176 ms, speedup=130.66851859320803420182"
,,,,,,,,Running drop height 3.0...
,,,,,,,,"seq=17482.266 ms, v4=98.999 ms, speedup=176.59032919524439640804"
,,,,,,,,Running drop height 3.5...
,,,,,,,,"seq=20079.761 ms, v4=98.557 ms, speedup=203.73754274176364946173"
,,,,,,,,Running drop height 4.0...
,,,,,,,,"seq=20219.223 ms, v4=98.102 ms, speedup=206.10408554361786711789"
,,,,,,,,Running drop height 5.0...
,,,,,,,,"seq=20141.018 ms, v4=97.629 ms, speedup=206.30159071587335730162"
